,,time_bin,gyro_X (rad/s),gyro_Y (rad/s),gyro_Z (rad/s),linacc_X (m/s^2),linacc_Y (m/s^2),linacc_Z (m/s^2),accel_X (m/s^2),accel_Y (m/s^2),accel_Z (m/s^2),orient_w,orient_x,orient_y,orient_z,orient_Direct (°),orient_Yaw (°),orient_Pitch (°),orient_Roll (°),pressure_X (hPa),exercise_class,exercise_type,session,LOF_Label,LOF_Score,PC1,PC2
subj3,181,36.0,-0.0624546111027,-0.04129895056798,0.034550389977633,-0.07661700955899,0.3496912001552,-0.08814118897684,1.35998339993586,8.14883990014,5.59048602451,0.513825353201,0.19240458135405,-0.412378498908,-0.7241629168835,118.152959504,53.83530963485,-8.447825688155,-113.335508671,1000.2563475,2,Squat,3,1,-0.9839575195997764,2.653081933249652,-1.2361857746640612
subj3,182,38.0,0.1421159758170373,0.087512688033607,-0.07787259111293,-0.00200318043202,0.3986737641907,0.04250272063903,1.9454894823445543,7.761250495227723,6.006424427554455,0.5176059675268656,0.1527283115740298,-0.4068768951920398,-0.7313698884761194,117.62848988606964,50.77209645402985,-11.556111075343283,-114.4444396119403,1000.252266,2,Squat,3,1,-0.9759985317716937,2.455732898974354,-0.08581227377569818
subj3,183,40.0,-0.074637746235705,-0.035343337554899,0.02915785442021,-0.119638794808667,-0.49455285134476,-0.47497578862721,2.591429095451,6.20746101837,6.02552186281,0.5495990464557214,0.1065457827440796,-0.3922272541781094,-0.7271744019870647,113.29773186169156,45.86174895084577,-16.0769909529403,-112.46814189552238,1000.246315,2,Squat,3,1,-1.056743312491124,2.112461782475681,3.6341298729511857
subj3,184,42.0,-0.13336376691158,-0.0069647339409419,0.09846623772924,-0.058999953257367,0.47667176185453,-0.02935813305961,1.6335634871920002,7.691451045269999,6.13569425812,0.5296919917435,0.163034866279,-0.3898867604945,-0.7289128320215,115.9249706915,49.2343895124,-9.961977931455,-112.1798748635,1000.245895,2,Squat,3,1,-1.0361943846570774,2.2306748128587284,-0.433214550665055
subj3,185,28.666666666666664,-0.09135844866847001,-0.011652991439971266,0.07881568325923967,-0.0860035986599013,0.44519188474192,0.013264276158176672,1.0770198010088317,7.68835551708759,6.302046006099802,0.41854216002319566,0.13970777593888556,-0.12748385088936814,-0.18883647268182924,129.73832591887728,48.88404593839934,-6.833835696780179,-23.14272737832009,1005.1608273333334,2,Squat,3,-1,-2.34232035401339,0.8139189379187677,3.7938062380531803
subj3,186,15.333333333333332,-0.049353130425360006,-0.016341248939000633,0.05916512878923933,-0.11300724406243559,0.41371200762931,0.05588668537596334,0.5204761148256634,7.685259988905181,6.468397754079604,0.3073923283028913,0.11638068559877113,0.1349190587157637,0.35123988665784156,143.55168114625457,48.53370236439867,-3.7056934621053585,65.89442010685983,1010.0757596666666,2,Squat,4,-1,-1.2378200447239553,-3.351695691275085,1.15176320780749
subj3,187,2.0,-0.00734781218225,-0.02102950643803,0.039514574319239,-0.1400108894649699,0.3822321305167,0.09850909459375,-0.0360675713575049,7.682164460722772,6.634749502059406,0.196242496582587,0.0930535952586567,0.3973219683208955,0.8913162459975125,157.36503637363185,48.18335879039801,-0.5775512274305373,154.93156759203978,1014.990692,2,Squat,4,1,-1.0097215782112392,-3.3465400183467993,-2.1178001264223414
subj3,188,4.0,0.0447304856462189,0.0020258641701309,-0.059691420181966,-0.02241594992744,0.0791625875797199,0.0298842596545899,0.40218814544265,7.40814268801,6.54503752442,0.2249965922655,0.1247456994759999,0.3904832264375,0.8833906016515001,153.9909564915,48.34687863475,-2.53983294027685,150.315762702,1014.994583,2,Squat,4,1,-1.0249536201237848,-2.691552065687125,-0.570013368413502
subj3,189,6.0,-0.08038851940507,-0.0634935700283,0.0521353024804134,-0.06062867068799,-0.00227078373486,-0.06955096373036,0.8304580535789,7.01038083799,6.6598278168,0.2307215092860696,0.1458481325064676,0.3656165113084577,0.888955865322388,153.31985854278608,46.16860382606965,-5.209890622410995,148.76529841890547,1014.994583,2,Squat,4,1,-0.9759293538479099,-2.5893886904829437,0.23390148862201635
subj3,190,8.0,0.054413558214236,0.039645873663348,-0.087144533107277,-0.05955266857621,0.2297042825819999,0.14633907304021,0.0666011062236633,7.332441218910891,6.887225465633663,0.2710419699383085,0.123043768239801,0.3750033246482587,0.877217060177612,148.542091080597,46.48688823457712,-0.7137468142958209,145.3977997228856,1014.994812,2,Squat,4,1,-1.0251879096235528,-2.9766690853346587,-1.0245277109013373
