"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
5.023762292E0,4.735521086E-1,-6.679931521E-1,9.775767476E0
5.043661292E0,7.029782128E-1,-7.182682431E-1,9.758381365E0
5.063561292E0,8.614927939E-1,-7.762222633E-1,9.741222126E0
5.083461292E0,8.895098738E-1,-8.424908779E-1,9.733195068E0
5.103361292E0,8.277283394E-1,-9.040877865E-1,9.733118470E0
5.123260292E0,7.505341293E-1,-9.615822885E-1,9.733866329E0
5.143160292E0,6.934366532E-1,-1.012704130E0,9.732917325E0
5.163060292E0,6.839885028E-1,-1.043636558E0,9.730317653E0
5.182960292E0,7.438179443E-1,-1.056537343E0,9.724534172E0
5.202859292E0,8.454822403E-1,-1.062662813E0,9.715555188E0
5.222759292E0,9.383077390E-1,-1.063637398E0,9.706922944E0
5.242659292E0,1.001505104E0,-1.059395608E0,9.701070465E0
5.262559292E0,1.042593853E0,-1.056937658E0,9.697008989E0
5.282458292E0,1.056693829E0,-1.062323602E0,9.694894052E0
5.302358292E0,1.035507905E0,-1.065927314E0,9.696783872E0
5.322258292E0,9.916817082E-1,-1.055521170E0,9.702501864E0
5.342158292E0,9.617016448E-1,-1.034180514E0,9.707816398E0
5.362057292E0,9.648728091E-1,-1.010539052E0,9.709991562E0
5.381957292E0,9.904969892E-1,-9.842058237E-1,9.710116108E0
5.401857292E0,1.013526979E0,-9.556756505E-1,9.710589148E0
5.421757292E0,1.012745499E0,-9.241392776E-1,9.713722671E0
5.441656292E0,9.996060010E-1,-8.914482258E-1,9.718137903E0
5.461556292E0,9.878400144E-1,-8.523354694E-1,9.722849005E0
5.481456292E0,9.816766836E-1,-8.100150767E-1,9.727090575E0
5.501356292E0,9.666461235E-1,-7.746860535E-1,9.731472479E0
5.521255292E0,9.258261994E-1,-7.432601930E-1,9.737890382E0
5.541155292E0,8.639448237E-1,-7.162119967E-1,9.745601106E0
5.561055292E0,7.984502343E-1,-6.955455246E-1,9.752681499E0
5.580955292E0,7.456289001E-1,-6.753190555E-1,9.758282547E0
5.600854292E0,7.156018397E-1,-6.458545703E-1,9.762524702E0
5.620754292E0,7.028684313E-1,-6.051783050E-1,9.766055251E0
5.640654292E0,6.939383443E-1,-5.603948823E-1,9.769365944E0
5.660554292E0,6.853084387E-1,-5.195668452E-1,9.772231080E0
5.680453292E0,6.555508619E-1,-4.873877171E-1,9.775930029E0
5.700353292E0,5.862901539E-1,-4.479362242E-1,9.782214031E0
5.720253292E0,5.037864162E-1,-3.848385181E-1,9.789494399E0
5.740153292E0,4.637252414E-1,-2.936696270E-1,9.794631763E0
5.760052292E0,4.819471022E-1,-2.037830303E-1,9.796035095E0
5.779952292E0,5.437359457E-1,-1.263111779E-1,9.794104929E0
5.799852292E0,6.380904912E-1,-3.667747788E-2,9.789157015E0
5.819752292E0,7.749221349E-1,7.545127393E-2,9.779054196E0
5.839651292E0,8.810298762E-1,1.743206831E-1,9.768802273E0
5.859551292E0,8.993942264E-1,2.342651685E-1,9.765874572E0
5.879451292E0,8.893330687E-1,2.876346792E-1,9.765369957E0
5.899351292E0,8.978849139E-1,3.576271845E-1,9.762274441E0
5.919250292E0,9.054943342E-1,4.454583204E-1,9.757958027E0
5.939150292E0,9.015264867E-1,5.559129915E-1,9.752656356E0
5.959050292E0,9.463231753E-1,6.783678668E-1,9.740656700E0
5.978950292E0,1.026370534E0,7.958767285E-1,9.723643641E0
5.998849292E0,1.089342343E0,8.987103946E-1,9.707819322E0
6.018748292E0,1.093404184E0,9.957224996E-1,9.697891919E0
6.038648292E0,1.065904656E0,1.088917104E0,9.690934317E0
6.058548292E0,1.037688990E0,1.154795344E0,9.686369396E0
6.078447292E0,1.024222925E0,1.192194793E0,9.683270956E0
6.098347292E0,1.007968031E0,1.231670954E0,9.680035692E0
6.118247292E0,1.012566793E0,1.280943247E0,9.673158197E0
6.138147292E0,1.038047278E0,1.332274784E0,9.663519062E0
6.158046292E0,1.055290424E0,1.383408685E0,9.654462309E0
6.177946292E0,1.049734035E0,1.440130039E0,9.646770882E0
6.197846292E0,1.024191204E0,1.507353431E0,9.639243761E0
6.217746292E0,9.827681395E-1,1.550940477E0,9.636641166E0
6.237645292E0,9.204179634E-1,1.552372752E0,9.642565565E0
6.257545292E0,8.049900527E-1,1.542415090E0,9.654483359E0
6.277445292E0,6.751627155E-1,1.537929106E0,9.665145172E0
6.297345292E0,5.892085358E-1,1.541319029E0,9.670225818E0
6.317244292E0,5.627922408E-1,1.538723304E0,9.672212702E0
6.337144292E0,5.419456013E-1,1.534385547E0,9.674091997E0
6.357044292E0,4.811954792E-1,1.536985804E0,9.676891059E0
6.376944292E0,3.803710992E-1,1.538805019E0,9.681089945E0
6.396843292E0,2.660887676E-1,1.524161106E0,9.687220166E0
6.416743292E0,1.131088319E-1,1.514935369E0,9.691659957E0
6.436643292E0,-2.246201041E-2,1.522511606E0,9.691106810E0
6.456543292E0,-9.779689277E-2,1.548384074E0,9.686538965E0
6.476442292E0,-1.050616288E-1,1.565338076E0,9.683737564E0
6.496342292E0,-4.916770610E-2,1.587667715E0,9.680547323E0
6.516242292E0,1.884343359E-2,1.650475290E0,9.670143372E0
6.536142292E0,9.681699079E-2,1.720222194E0,9.657513387E0
6.556041292E0,2.031580726E-1,1.761187056E0,9.648473591E0
6.575941292E0,3.043160728E-1,1.762367024E0,9.645597346E0
6.595841292E0,3.374281242E-1,1.743597900E0,9.647906996E0
6.615741292E0,3.189919994E-1,1.730981947E0,9.650805461E0
6.635640292E0,2.785672557E-1,1.711649152E0,9.655504283E0
6.655540292E0,2.525593156E-1,1.673140559E0,9.662965915E0
6.675440292E0,2.483380279E-1,1.630386888E0,9.670380769E0
6.695340292E0,2.661081182E-1,1.600949812E0,9.674825238E0
6.715239292E0,2.746916846E-1,1.583713974E0,9.677421986E0
6.735139292E0,2.497460191E-1,1.567155244E0,9.680792906E0
6.755039292E0,2.185094074E-1,1.547078537E0,9.684776614E0
6.774939292E0,2.324207192E-1,1.526340948E0,9.687742907E0
